playerID,schoolID,yearID
aardsda01,pennst,2001
aardsda01,rice,2002
aardsda01,rice,2003
abadan01,gamiddl,1992
abadan01,gamiddl,1993
abbeybe01,vermont,1889
abbeybe01,vermont,1890
abbeybe01,vermont,1891
abbeybe01,vermont,1892
abbotje01,kentucky,1991
abbotje01,kentucky,1992
abbotje01,kentucky,1994
abbotji01,michigan,1986
abbotji01,michigan,1987
abbotji01,michigan,1988
abbotky01,ucsd,1987
abbotky01,ucsd,1988
abbotky01,longbeach,1989
abercre01,flgateway,2000
abernte01,elon,1939
abernte01,elon,1940
abernte01,elon,1941
ablesha01,swesterntx,1903
ablesha01,swesterntx,1904
accarje01,illinoisst,2001
accarje01,illinoisst,2002
accarje01,illinoisst,2003
aceveju01,ilparkl,1992
ackerji01,texas,1978
ackerji01,texas,1979
ackerji01,texas,1980
ackledu01,unc,2007
ackledu01,unc,2008
ackledu01,unc,2009
acrema01,nmstate,1989
acrema01,nmstate,1990
acrema01,nmstate,1991
adairje01,okstate,1957
adairje01,okstate,1958
adamsbo01,lehigh,1922
adamsbo01,lehigh,1923
adamsbo01,lehigh,1924
adamsbo01,lehigh,1925
adamsbo04,ucla,1971
adamsbo04,ucla,1972
adamsbo04,ucla,1973
adamsda02,virginia,2006
adamsda02,virginia,2007
adamsda02,virginia,2008
adamsgl01,sprngfldma,1967
adamsjo02,cacerri,1990
adamsma01,sliprock,2007
adamsma01,sliprock,2008
adamsma01,sliprock,2009
adamsmi01,usc,1967
adamsmi03,tamukvill,1999
adamsmi03,tamukvill,2000
adamsmi03,tamukvill,2001
adamsru01,unc,2000
adamsru01,unc,2001
adamsru01,unc,2002
adamssp02,utah,1920
adamswi02,stanford,1991
adamswi02,stanford,1992
adamswi02,stanford,1993
adcocjo01,lsu,1947
adducji01,sillinois,1978
adducji01,sillinois,1979
adducji01,sillinois,1980
aderhmo01,wake,1935
aderhmo01,wake,1936
aderhmo01,wake,1937
aderhmo01,wake,1938
adkindo01,beloitwi,1898
adkindo01,beloitwi,1899
adkindo01,beloitwi,1900
adkindo01,beloitwi,1901
adkinhe01,chicago,1893
adkinhe01,chicago,1894
adkinhe01,chicago,1895
adkinhe01,chicago,1896
adkinjo01,okstate,1996
adkinjo01,okstate,1997
adkinjo01,okstate,1998
adkinst01,upenn,1983
adkinst01,upenn,1984
adkinst01,upenn,1985
adkinst01,upenn,1986
afenitr01,capalom,1982
afenitr01,capalom,1983
agbaybe01,hawaiipac,1991
agbaybe01,hawaiipac,1992
agbaybe01,hawaiipac,1993
ageeto01,grambling,1961
agganha01,bostonuniv,1950
agganha01,bostonuniv,1952
aguilri01,byu,1981
aguilri01,byu,1982
aguilri01,byu,1983
ahearpa01,pepperdine,1991
ahearpa01,pepperdine,1992
aikenwi01,scstate,1974
ainswku01,lsu,1998
ainswku01,lsu,1999
akerfda01,arkansas,1981
akerfda01,arkansas,1982
akerfda01,mesast,1983
akerja01,casequo,1959
albaljo01,miamidade,2001
alberan01,kentucky,2005
alberan01,kentucky,2006
alberan01,kentucky,2007
alberan01,kentucky,2008
alberbu01,cincy,1971
alberbu01,cincy,1972
alberma01,txsjjcn,2002
albrija01,california,1941
albrija01,california,1942
albrija01,california,1943
alderda01,upperiowa,1939
alderda01,upperiowa,1940
alderda01,upperiowa,1941
alderda01,upperiowa,1942
aldremi01,stanford,1980
aldremi01,stanford,1981
aldremi01,stanford,1982
aldremi01,stanford,1983
aldrija01,mntclairst,1980
aldrija01,mntclairst,1981
aldrija01,mntclairst,1982
aldrivi01,incante,1913
aldrivi01,incante,1914
alexabo01,bethanywv,1942
alexada01,tusculum,1922
alexada01,milligantn,1924
alexada01,milligantn,1925
alexaga01,caharbo,1971
alexage01,tulane,1987
alexage01,tulane,1988
alexage01,tulane,1989
alexama01,grambling,1966
alexama01,grambling,1967
alexama01,grambling,1968
alfarja01,txhillj,1997
alicelu01,floridast,1984
alicelu01,floridast,1985
alicelu01,floridast,1986
allanan01,richmond,1981
allanan01,richmond,1982
allanan01,richmond,1983
allenbe01,purdue,1959
allenbe01,purdue,1960
allenbe01,purdue,1961
allenbo02,wisconsin,1919
allenbo02,wisconsin,1920
allenbo02,wisconsin,1921
allench01,texasam,1994
allench01,texasam,1995
allench01,texasam,1996
allenco01,highpoint,2011
allendu01,stanford,1992
allendu01,stanford,1993
allendu01,stanford,1994
allendu01,stanford,1995
allenet01,cincy,1924
allenet01,cincy,1925
allenet01,cincy,1926
allenfr01,rhodestn,1907
allenfr01,rhodestn,1908
allenfr01,rhodestn,1909
allenga01,arizonast,1973
allenga01,arizonast,1974
allenga01,arizonast,1975
allenga01,arizonast,1976
allenja02,arizonast,1977
allenja02,arizonast,1978
allenja02,arizonast,1979
allenje01,purdue,1991
allenje01,purdue,1992
allenje01,purdue,1993
allenki01,ucriver,1973
allenki01,ucriver,1974
allenki01,ucriver,1975
allenpe01,amherstma,1892
allenpe01,amherstma,1893
allisbo01,kansas,1954
allisda01,jamesmad,1986
allisda01,jamesmad,1987
allisda01,jamesmad,1988
allisda01,jamesmad,1989
allrebe01,lamar,1986
allrebe01,lamar,1987
almanar01,nmnmjco,1992
almanar01,nmnmjco,1993
almonbi01,brown,1973
almonbi01,brown,1974
almoned01,stfranny,1996
almoned01,stfranny,1997
almoned01,stfranny,1998
alonsyo01,miamifl,2006
alonsyo01,miamifl,2007
alonsyo01,miamifl,2008
aloumo01,cacanad,1985
aloumo01,cacanad,1986
alstode01,concordny,1971
alstode01,concordny,1972
alstoga01,nymercy,1990
alstoga01,flinternat,1992
alstoto01,ncat,1947
alstoto01,ncat,1948
alstoto01,ncat,1949
alstoto01,ncat,1950
alstowa01,miamioh,1933
alstowa01,miamioh,1934
alstowa01,miamioh,1935
altmage01,tennst,1953
altmage01,tennst,1954
altmage01,tennst,1955
alvarab01,longbeach,2001
alvarab01,longbeach,2002
alvarab01,longbeach,2003
alvarga01,usc,1993
alvarga01,usc,1994
alvarga01,usc,1995
alvarjo01,flhills,1975
alvarjo01,flhills,1976
alvarjo01,ulala,1977
alvarjo01,ulala,1978
alvarju01,stthomasfl,1992
alvarju01,stthomasfl,1993
alvarju01,stthomasfl,1994
alvarju01,stthomasfl,1995
alvarpe01,vandy,2006
alvarpe01,vandy,2007
alvarpe01,vandy,2008
alvarrj01,flatlantic,2010
alvarrj01,flatlantic,2011
alvarrj01,flatlantic,2012
alvisma01,texas,1958
alyeabr01,hofstra,1960
alyeabr01,hofstra,1961
amalfjo01,loyolamary,1952
amalfjo01,loyolamary,1953
amarari01,caorang,1981
amarari01,ucla,1982
amarari01,ucla,1983
amaroru02,stanford,1984
amaroru02,stanford,1985
amaroru02,stanford,1986
amaroru02,stanford,1987
amblewa01,duke,1935
amblewa01,duke,1936
amblewa01,duke,1937
ambrihe01,ucla,2003
ambrihe01,ucla,2004
ambrihe01,ucla,2005
ambrihe01,ucla,2006
amelued01,casajco,1978
amelued01,casajco,1979
amelued01,sandiegost,1980
amesst01,gonzaga,2009
amezaal01,flstpet,1998
amezaal01,flstpet,1999
anderal01,georgia,1935
anderal01,georgia,1936
anderal01,georgia,1937
anderbr01,ucirvine,1983
anderbr01,ucirvine,1984
anderbr01,ucirvine,1985
anderbr02,wrightst,1991
anderbr02,wrightst,1992
anderbr02,wrightst,1993
anderbr03,arizona,2001
anderbr03,arizona,2002
anderbr03,arizona,2003
anderbu01,rutgers,1975
anderbu01,rutgers,1976
anderbu01,rutgers,1977
andercr01,lehigh,1958
andercr01,lehigh,1959
andercr01,lehigh,1960
anderda02,memphis,1980
anderda02,memphis,1981
anderdr01,nebraska,2001
anderdr01,nebraska,2002
anderdr01,nebraska,2003
anderfe01,kansas,1937
anderfe01,kansas,1938
anderfr01,davidson,1906
anderfr01,mdmdbal,1909
anderha02,wchester,1951
anderha02,wchester,1952
anderja01,illinois,1998
anderja01,illinois,1999
anderja01,illinois,2000
anderjo03,ekentucky,2001
anderjo03,ekentucky,2002
anderjo03,ekentucky,2003
anderke01,scarolina,1982
anderke01,scarolina,1983
anderke01,scarolina,1984
anderma01,rice,1995
anderma01,rice,1996
anderma01,rice,1997
anderma02,salabama,1993
anderma02,salabama,1994
anderma02,salabama,1995
andermi02,swesterntx,1985
andermi02,swesterntx,1986
andermi02,swesterntx,1987
andermi02,swesterntx,1988
anderri02,washington,1978
andersc01,oregonst,1981
andersc01,oregonst,1982
andersc01,oregonst,1983
andersc01,oregonst,1984
anderwa01,wmichigan,1916
anderwi01,txburne,1904
anderwi01,txburne,1905
anderwi01,txburne,1906
andrast01,caameri,1998
andrast01,csstanisl,2001
andreed01,casewestrn,1881
andreel01,furman,1921
andreel01,furman,1922
andreel01,furman,1923
andreer01,indiana,1937
andreer01,indiana,1938
andreer01,indiana,1939
andrejo02,capasad,1968
andrejo02,capasad,1969
andrejo02,sandiegost,1970
andreki01,calavco,1972
andrena01,ncstand,1932
andrena01,unc,1933
andrena01,unc,1934
angelno01,cacsmat,1966
angelno01,cacsmat,1967
angelno01,washst,1968
angelno01,washst,1969
anglema01,ohiost,2005
anglema01,ohiost,2006
anglema01,ohiost,2007
angleto01,gatech,1925
angleto01,gatech,1926
angleto01,gatech,1927
ankenpa01,texas,1932
ankenpa01,texas,1933
ankenpa01,texas,1934
antonma01,wake,2004
antonma01,wake,2005
antonma01,wake,2006
apodabo01,cacerri,1968
apodabo01,cacerri,1969
apodabo01,calstla,1970
apodabo01,calstla,1971
appieke01,fresnost,1986
appieke01,caantel,1987
applepe01,michigan,1924
applepe01,michigan,1925
applepe01,michigan,1926
ardelda01,usc,1961
ardoida01,txtexar,1993
ardoida01,txtexar,1994
ardoida01,mcneese,1995
arencjp01,tennessee,2005
arencjp01,tennessee,2006
arencjp01,tennessee,2007
ariasge01,azpimcc,1991
ariasge01,azpimcc,1992
ariasge01,arizona,1993
arlinst01,ohiost,1965
arlinst01,ohiost,1966
armstja01,rider,1984
armstja01,rider,1985
armstja01,rider,1986
armstja01,oklahoma,1987
