playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
aaronha01,1954,1,ML1,NL,LF,105,102,2773,205,4,6,0,,,,,
aaronha01,1954,1,ML1,NL,RF,11,11,320,12,1,1,1,,,,,
abramca01,1954,1,PIT,NL,LF,5,5,120,12,2,0,0,,,,,
abramca01,1954,1,PIT,NL,RF,8,6,173,11,0,0,0,,,,,
abramca01,1954,2,BAL,AL,CF,12,12,300,36,1,0,0,,,,,
abramca01,1954,2,BAL,AL,RF,103,98,2638,213,5,6,1,,,,,
amorosa01,1954,1,BRO,NL,CF,2,1,33,1,0,0,0,,,,,
amorosa01,1954,1,BRO,NL,LF,69,67,1786,148,6,2,1,,,,,
amorosa01,1954,1,BRO,NL,RF,2,0,2,0,0,0,0,,,,,
ashburi01,1954,1,PHI,NL,CF,153,153,4027,488,12,8,2,,,,,
bauerha01,1954,1,NYA,AL,LF,8,3,164,9,1,0,0,,,,,
bauerha01,1954,1,NYA,AL,RF,104,87,2322,168,5,2,1,,,,,
baumhfr01,1954,1,CHN,NL,CF,62,58,1416,139,2,1,0,,,,,
baumhfr01,1954,1,CHN,NL,LF,12,1,75,8,0,0,0,,,,,
baumhfr01,1954,1,CHN,NL,RF,13,7,227,14,0,1,0,,,,,
bellgu01,1954,1,CIN,NL,CF,153,152,4034,404,12,5,2,,,,,
bolgeji01,1954,1,CIN,NL,CF,2,0,9,0,0,0,0,,,,,
borkobo01,1954,1,CIN,NL,LF,14,10,295,26,2,0,0,,,,,
borkobo01,1954,1,CIN,NL,RF,22,21,575,43,1,0,1,,,,,
boydbo01,1954,1,CHA,AL,LF,13,12,257,20,1,1,0,,,,,
brutobi01,1954,1,ML1,NL,CF,141,129,3580,338,14,7,3,,,,,
burgeto01,1954,1,SLN,NL,RF,4,2,57,3,0,0,0,,,,,
busbyji01,1954,1,WS1,AL,CF,155,155,4123,492,6,6,1,,,,,
cavarph01,1954,1,CHA,AL,LF,2,2,39,1,0,0,0,,,,,
cavarph01,1954,1,CHA,AL,RF,7,7,153,7,0,1,0,,,,,
cervbo01,1954,1,NYA,AL,LF,24,21,509,26,1,3,0,,,,,
clarkme01,1954,1,PHI,NL,LF,20,19,552,39,5,2,1,,,,,
clarkme01,1954,1,PHI,NL,RF,42,33,914,73,4,2,1,,,,,
coangi01,1954,1,BAL,AL,CF,32,31,774,75,0,3,0,,,,,
coangi01,1954,1,BAL,AL,LF,36,33,857,73,1,2,0,,,,,
delsiji01,1954,1,DET,AL,CF,5,4,105,12,0,0,0,,,,,
delsiji01,1954,1,DET,AL,LF,90,79,2103,184,5,1,0,,,,,
delsiji01,1954,1,DET,AL,RF,16,14,327,26,0,0,0,,,,,
dierich01,1954,1,BAL,AL,CF,119,111,3040,329,16,6,6,,,,,
dobyla01,1954,1,CLE,AL,CF,153,153,4063,411,14,2,6,,,,,
durhajo02,1954,1,BAL,AL,CF,1,0,6,0,0,0,0,,,,,
durhajo02,1954,1,BAL,AL,LF,10,10,261,22,0,2,0,,,,,
ennisde01,1954,1,PHI,NL,LF,72,71,1898,154,4,9,1,,,,,
ennisde01,1954,1,PHI,NL,RF,71,70,1871,145,5,5,0,,,,,
escalni01,1954,1,CIN,NL,CF,4,2,57,6,0,0,0,,,,,
escalni01,1954,1,CIN,NL,LF,1,0,6,0,0,0,0,,,,,
escalni01,1954,1,CIN,NL,RF,10,6,164,16,3,1,2,,,,,
eversho01,1954,1,BOS,AL,LF,1,1,24,1,0,0,0,,,,,
eversho01,1954,2,NY1,NL,CF,2,0,27,2,0,0,0,,,,,
eversho01,1954,2,NY1,NL,LF,2,0,7,2,0,0,0,,,,,
eversho01,1954,3,DET,AL,CF,2,1,35,6,0,0,0,,,,,
eversho01,1954,3,DET,AL,LF,17,7,256,20,1,0,0,,,,,
eversho01,1954,3,DET,AL,RF,6,4,123,7,0,0,0,,,,,
frazijo01,1954,1,SLN,NL,LF,2,2,45,4,0,1,0,,,,,
