playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
beaumgi01,1903,PIT,NL,WS,CF,8,8,210,21,0,0,0,0,,,
branski01,1903,PIT,NL,WS,1B,8,8,210,81,6,3,5,0,,,
clarkfr01,1903,PIT,NL,WS,LF,8,8,210,18,0,1,0,0,,,
colliji01,1903,BOS,AL,WS,3B,8,8,213,9,18,1,1,0,,,
crigelo01,1903,BOS,AL,WS,C,8,8,213,54,7,3,2,0,0,9,3
dinnebi01,1903,BOS,AL,WS,P,4,4,105,2,9,0,0,0,,6,1
doughpa01,1903,BOS,AL,WS,LF,8,8,213,13,3,1,1,0,,,
ferriho01,1903,BOS,AL,WS,2B,8,8,213,18,23,2,2,0,,,
freembu01,1903,BOS,AL,WS,RF,8,8,213,10,0,0,0,0,,,
hugheto01,1903,BOS,AL,WS,P,1,1,6,0,0,0,0,0,,0,0
kennebr01,1903,PIT,NL,WS,P,1,1,21,0,1,0,0,0,,2,0
lachaca01,1903,BOS,AL,WS,1B,8,8,213,77,3,3,3,0,,,
leachto01,1903,PIT,NL,WS,3B,8,8,210,5,16,4,0,0,,,
leevesa01,1903,PIT,NL,WS,P,2,2,30,0,2,0,0,0,,1,0
parenfr01,1903,BOS,AL,WS,SS,8,8,213,16,28,3,2,0,,,
phelped01,1903,PIT,NL,WS,C,7,7,186,36,5,2,0,0,0,3,2
phillde01,1903,PIT,NL,WS,P,5,5,132,2,9,1,0,0,,0,2
ritchcl01,1903,PIT,NL,WS,2B,8,8,210,20,29,0,5,0,,,
sebriji01,1903,PIT,NL,WS,RF,8,8,210,13,1,0,0,0,,,
smithha03,1903,PIT,NL,WS,C,1,1,24,2,1,1,0,0,0,2,0
stahlch01,1903,BOS,AL,WS,CF,8,8,213,14,1,0,0,0,,,
thompgu01,1903,PIT,NL,WS,P,1,0,6,0,1,0,0,0,,0,0
veilbu01,1903,PIT,NL,WS,P,1,0,21,0,0,1,0,0,,2,0
wagneho01,1903,PIT,NL,WS,SS,8,8,210,12,30,6,4,0,,,
youngcy01,1903,BOS,AL,WS,P,4,3,102,0,8,1,0,0,,3,2
amesre01,1905,NY1,NL,WS,P,1,0,3,0,1,0,0,0,,0,0
bendech01,1905,PHA,AL,WS,P,2,2,51,0,4,0,0,0,,2,2
bresnro01,1905,NY1,NL,WS,C,5,5,135,27,8,1,1,0,0,2,2
brownge01,1905,NY1,NL,WS,RF,5,5,135,3,0,1,0,0,,,
coaklan01,1905,PHA,AL,WS,P,1,1,27,0,2,0,1,0,,4,2
crossla01,1905,PHA,AL,WS,3B,5,5,129,6,6,0,1,0,,,
crossmo01,1905,PHA,AL,WS,SS,5,5,129,13,12,2,0,0,,,
dahlebi01,1905,NY1,NL,WS,SS,5,5,135,10,19,0,3,0,,,
davisha01,1905,PHA,AL,WS,1B,5,5,129,51,1,0,2,0,,,
devliar01,1905,NY1,NL,WS,3B,5,5,135,7,16,1,0,0,,,
donlimi01,1905,NY1,NL,WS,CF,5,5,135,16,0,0,0,0,,,
gilbebi02,1905,NY1,NL,WS,2B,5,5,135,9,15,0,0,0,,,
hartsto01,1905,PHA,AL,WS,LF,5,5,129,9,1,1,1,0,,,
lordbr01,1905,PHA,AL,WS,CF,5,5,129,12,0,0,0,0,,,
mathech01,1905,NY1,NL,WS,P,3,3,81,1,9,2,0,0,,1,2
mcganda01,1905,NY1,NL,WS,1B,5,5,135,59,1,1,2,0,,,
mcginjo01,1905,NY1,NL,WS,P,2,2,51,0,6,0,0,0,,1,0
mertesa01,1905,NY1,NL,WS,LF,5,5,135,3,1,0,0,0,,,
murphda02,1905,PHA,AL,WS,2B,5,5,129,3,12,4,0,0,,,
planked01,1905,PHA,AL,WS,P,2,2,51,1,6,0,0,0,,4,1
powerdo01,1905,PHA,AL,WS,C,3,2,60,13,5,0,1,0,0,2,3
schreos01,1905,PHA,AL,WS,C,3,3,69,17,4,0,1,0,0,8,2
seyboso01,1905,PHA,AL,WS,RF,5,5,129,4,1,0,1,0,,,
altroni01,1906,CHA,AL,WS,P,2,2,54,6,11,0,1,0,,1,2
brownmo01,1906,CHN,NL,WS,P,3,3,59,1,11,1,0,0,,3,3
chancfr01,1906,CHN,NL,WS,1B,6,6,159,61,2,0,1,0,,,
davisge01,1906,CHA,AL,WS,SS,3,3,81,7,15,2,1,0,,,
donahji02,1906,CHA,AL,WS,1B,6,6,162,80,9,1,2,0,,,
doughpa01,1906,CHA,AL,WS,LF,6,6,162,4,0,1,0,0,,,
eversjo01,1906,CHN,NL,WS,2B,6,6,159,13,19,1,3,0,,,
hahned01,1906,CHA,AL,WS,RF,6,6,150,3,0,0,0,0,,,
hofmaso01,1906,CHN,NL,WS,CF,6,6,159,10,1,0,0,0,,,
isbelfr01,1906,CHA,AL,WS,2B,6,6,162,11,16,5,0,0,,,
jonesfi01,1906,CHA,AL,WS,CF,6,6,162,9,0,0,0,0,,,
klingjo01,1906,CHN,NL,WS,C,6,6,159,45,9,1,3,0,3,6,6
