schoolID,name_full,city,state,country
abilchrist,Abilene Christian University,Abilene,TX,USA
adelphi,Adelphi University,Garden City,NY,USA
adrianmi,Adrian College,Adrian,MI,USA
akron,University of Akron,Akron,OH,USA
alabama,University of Alabama,Tuscaloosa,AL,USA
alabamaam,Alabama A&M University,Normal,AL,USA
alabamast,Alabama State University,Montgomery,AL,USA
albanyst,Albany State University,Albany,GA,USA
albertsnid,Albertson College,Caldwell,ID,USA
albevil,Bevill State Community College,Sumiton,AL,USA
albionmi,Albion College,Albion,MI,USA
albrightpa,Albright College,Reading,PA,USA
alcalho,Calhoun Community College,Decatur,AL,USA
alchatt,Chattahoochee Valley Community College,Phenix City,AL,USA
alcornst,Alcorn State University,Lorman,MS,USA
alenter,Enterprise-Ozark Community College,Enterprise,AL,USA
alfaulk,Faulkner University,Montgomery,AL,USA
alfscco,Faulkner State College,Bay Minette,AL,USA
algadsd,Gadsden State Community College,Gadsden,AL,USA
aljeffd,Jefferson Davis Community College,Brewton,AL,USA
allegheny,Allegheny College,Meadville,PA,USA
allurle,Lurleen B Wallace Community College,Andalusia,AL,USA
almami,Alma College,Alma,MI,USA
almario,Marion Military Institute,Marion,AL,USA
almiles,Miles College,Fairfield,AL,USA
alnorth,Northwest-Shoals Community College,Muscle Shoals,AL,USA
alsuscc,Southern Union State Community College,Wadley,AL,USA
alverniapa,Alvernia College,Reading,PA,USA
alwsdot,Wallace State Community College (Dothan),Dothan,AL,USA
alwshan,Wallace State Community College (Hanceville),Hanceville,AL,USA
american,American University,Washington,DC,USA
amerintl,American International University,Springfield,MA,USA
amherstma,Amherst College,Amherst,MA,USA
andersonsc,Anderson College,Anderson,SC,USA
appalst,Appalachian State University,Boone,NC,USA
aquinasmi,Aquinas College,Grand Rapids,MI,USA
arftsmi,University of Arkansas-Fort Smith,Fort Smith,AR,USA
arizona,University of Arizona,Tucson,AZ,USA
arizonast,Arizona State University,Tempe,AZ,USA
arkansas,University of Arkansas,Fayetteville,AR,USA
arkansaslr,University of Arkansas at Little Rock,Little Rock,AR,USA
arkansaspb,University of Arkansas at Pine Bluff,Pine Bluff,AR,USA
arkansasst,Arkansas State University,Jonesboro,AR,USA
arkmont,University of Arkansas at Monticello,Monticello,AR,USA
arktech,Arkansas Tech University,Russellville,AR,USA
armstratl,Armstrong Atlantic State University,Savannah,GA,USA
army,United States Military Academy,West Point,NY,USA
arnorth,North Arkansas College,Bentonville,AR,USA
ashland,Ashland University,Ashland,OH,USA
athensst,Athens State University,Athens,AL,USA
auburn,Auburn University,Auburn,AL,USA
auburnmont,Auburn University at Montgomery,Montgomery,AL,USA
