,shopname,num_customers,num_likes,fraction_likes,owner_idx,mus,sigmas,logit_p,num_favs
101333,Snazzy auburn skunk,1,0,0.0,8,1.8337371825850193,1.20746328,2.276574171603834,1
101334,Ready periwinkle rhinoceros,0,0,,8,1.8337371825850193,1.20746328,1.577138550975489,0
101335,Gimpy periwinkle bombay,624,183,0.2932692307692308,8,1.8337371825850193,1.20746328,1.8172354691223127,537
101336,Frumpy mauve baboon,0,0,,8,1.8337371825850193,1.20746328,1.4844769912627587,0
101337,Gummy lemon kangaroo,61,9,0.14754098360655737,8,1.8337371825850193,1.20746328,2.6848866522976285,59
101338,Gamy ruby monkey,225,49,0.21777777777777776,1,0.10362242194528844,0.60319852,0.4810975613188211,135
101339,Lousy mustard crocodile,0,0,,8,1.8337371825850193,1.20746328,1.4202388597401838,0
101340,Clammy puce shrimp,297,74,0.24915824915824916,8,1.8337371825850193,1.20746328,0.5816807647678295,187
101341,Blurry vermilion robin,21,4,0.19047619047619047,8,1.8337371825850193,1.20746328,1.5407388356415341,15
101342,Squirrely chestnut crane,63,16,0.25396825396825395,0,-0.06291694673634798,0.21505173,-0.387684924602239,33
101343,Grumpy rust cassowary,6,0,0.0,8,1.8337371825850193,1.20746328,0.5598123148070993,4
101344,Scanty amethyst rattlesnake,284,62,0.21830985915492956,8,1.8337371825850193,1.20746328,3.51360594047816,275
101345,Pretty yellow squid,0,0,,3,-0.8024729479326377,0.16837932,-0.6190404216074554,0
101346,Skanky chocolate chameleon,56,8,0.14285714285714285,8,1.8337371825850193,1.20746328,0.27601105428451644,38
101347,Pokey myrtle tarantula,1,1,1.0,4,-0.24255405640856506,0.14264645,-0.21263233511303808,1
101348,Whiny lilac flamingo,0,0,,5,-0.75417445104767,0.54077756,-0.6059926846100131,0
101349,Lumpy ecru drever,19,4,0.21052631578947367,8,1.8337371825850193,1.20746328,0.3318670892593776,11
101350,Paltry russet newt,0,0,,5,-0.75417445104767,0.54077756,-1.6064405607187977,0
101351,Nippy turquoise bordeaux,0,0,,8,1.8337371825850193,1.20746328,2.805258047923944,0
101352,Scaly orange octopus,16,2,0.125,8,1.8337371825850193,1.20746328,3.6155408167100074,16
101353,Whiny celadon havanese,0,0,,5,-0.75417445104767,0.54077756,-0.9153872822900141,0
101354,Snoopy pear malamute,182,48,0.26373626373626374,8,1.8337371825850193,1.20746328,0.8241525748310194,119
101355,Droopy asparagus ocelot,112,31,0.2767857142857143,8,1.8337371825850193,1.20746328,1.2188471703110217,87
101356,Skimpy russet flounder,482,122,0.25311203319502074,3,-0.8024729479326377,0.16837932,-0.6723504703383062,180
101357,Woolly silver albatross,0,0,,8,1.8337371825850193,1.20746328,2.3258969225328685,0
101358,Queasy tomato raccoon,198,39,0.19696969696969696,8,1.8337371825850193,1.20746328,1.86946292883923,165
101359,Geeky myrtle tuatara,640,216,0.3375,4,-0.24255405640856506,0.14264645,-0.023365749239026345,304
101360,Cranky firebrick buffalo,0,0,,7,1.323849017775678,0.16748833,0.9760881071872742,0
101361,Ugly ultramarine eagle,0,0,,8,1.8337371825850193,1.20746328,-0.3266022605114012,0
101362,Gummy lime magpie,3,1,0.3333333333333333,8,1.8337371825850193,1.20746328,0.6980283215192615,1
101363,Goopy dandelion hummingbird,1,0,0.0,8,1.8337371825850193,1.20746328,4.297389322152441,1
101364,Ready gamboge audemer,337,84,0.24925816023738873,8,1.8337371825850193,1.20746328,1.3916428482583298,272
