Date,Location,Cost (millions 2013US$),INES,Smyth Magnitude,Region,Description,Fatalities
4/26/1986,"Kiev, Ukraine",259336,7,8,EE,Mishandled reactor safety test at Chernobyl nuclear reactor caused steam explosion and meltdown and required massive evacuation.,4056
3/11/2011,"Fukushima Prefecture, Japan",166089,7,7.5,A,An earthquake and tsunami caused emergency backup generators to fail at the Fukushima Daiichi nuclear power plant and reactors cracked as a result causing fire and meltdown.,573
12/8/1995,"Tsuruga, Japan",15500,,,A,"Japan's only fast breeder reactor Monju suffers serious accident and fire caused by leaking sodium, reactor shutdown for 6 years while extensive repairs are carried out",0
3/28/1979,"Middletown, Pennsylvania, United States",10910,5,7.9,NA,Equipment failure and operator error contributed to loss of coolant and partial core meltdown at Three Mile Island nuclear reactor.,0
9/11/1957,"Rocky Flats, USA",8189,5,5.2,NA,Fire starts and destroys plutonium processing facility,0
3/25/1955,"Sellafield, UK",4400,4,4.3,WE,Fire releases up to up to a few tenths of a terabecquerel of radioactivity into the atmosphere,0
1/1/1977,"Beloyarsk, USSR",3500,5,,EE,"Unit 2 suffers a half core meltdown, repairs take more than a year",0
7/14/1955,"Sellafield, UK",2900,3,-2.4,WE,Another radioactive leak and remediation operation,0
10/12/1969,"Sellafield, UK",2500,4,2.3,WE,Enhanced discharge from the Building B204 stack of about 1.8 TBq beta radioactivity,0
3/9/1985,"Athens, Alabama, United States",2114.3,,,NA,Instrumentation systems malfunctioned during startup and the Tennessee Valley Authority suspended operations at all three Browns Ferry Units.,0
2/22/1977,"Jaslovske Bohunice, Czechoslovakia",1964.5,4,,EE,Mechanical failure during fuel loading at the KS 150 reactor caused severe corrosion and released radioactivity into the plant area; requiring total decommission.,0
5/1/1968,"Sellafield, UK",1900,4,4,WE,A month long discharge of radioactivity occurs from Building B230 stack as a result of a failed filter,0
9/29/1957,"Kyshtym, Chelyabinsk, Soviet Union",1733.4,6,7.3,EE,Heat exchangers failed at nitrate storage tank at the Mayak Scientific-Production Association spent fuel rod storage facility and caused a massive chemical explosion.,103
11/29/1955,"Idaho Falls, Idaho, United States",1500,4,,NA,Suffered a partial meltdown during a coolant flow test,0
3/19/1971,"Sellafield, UK",1330,3,3.2,WE,"Sparks from an electric arc ignited radioactive waste in a basement, leading to 0.48 GBq released",0
12/8/1955,"Sellafield, UK",1300,3,-2.7,WE,A fire occurred in a radioactive waste silo in Building B247,0
4/11/1986,"Plymouth, Massachusetts, United States",1156.7,,,NA,"Recurring equipment problems with instrumentation, vacuum breakers, instrument air system, and main transformer forced emergency shutdown of Boston Edison’s Pilgrim nuclear facility.",0
12/2/1949,"Hanford, WA, USA",1100,4,3.8,NA,"Operators release 8,000 curies of iodine-131 over two days known as the ""Green Run""",0
5/1/1967,"Chapelcross, UK",1100,4,,WE,"Fuel element melt and fire in part of core, 2 years of repairs",0
9/9/1982,"Chernobyl, Ukraine",1100,5,,EE,"Partial core melt – fuel assembly channel 62-44 destroyed, irradiation of staff involved in repairing the core",0
08/01/1983,"Pickering, Canada",1000,,,NA,"On August 1, 1983, Pickering reactor 2 had a loss of coolant accident after a pressure tube
suffered a metre-long rupture. The station was shut down and the four reactors at Pickering
A were eventually retubed at a cost of about $1 billion",0
9/26/1973,"Sellafield, UK",990,4,2,WE,"An exothermic reaction occurred involving accumulated zirconium fines and solvent in a vessel in the Head End Treatment, exposing 35 workers",0
12/19/1989,"Vandellòs, Spain",930.9,3,,WE,A fire at one of its turbines caused the malfunction of safety systems at the Vandellòs Nuclear Power Plant and forced one of its 508 MWe units to permanently shut down.,0
2/1/2010,"Vernon, Vermont, United States",808.9,,,NA,Underground pipes from the Vermont Yankee nuclear power plant deteriorated and leaked radioactive tritium into groundwater supplies in Vermont and resulted in the shutdown of the plant.,0
6/19/1961,"Sellafield, UK",800,3,4,NA,There was a release of plutonium bearing liquid into process cooling water from a leak in an evaporator,0
